Num_species,Replicate_number,Num_total_DAR,Num_cDAR,Num_uDAR
550,35,289,137,152
550,36,289,134,155
550,37,289,135,154
550,38,289,139,150
550,39,289,136,153
550,40,289,129,160
550,41,289,139,150
550,42,289,132,157
550,43,289,135,154
550,44,289,135,154
550,45,289,131,158
550,46,289,134,155
550,47,289,134,155
550,48,289,131,158
550,49,289,133,156
550,50,289,135,154
550,51,289,137,152
550,52,289,135,154
550,53,289,135,154
550,54,289,130,159
550,55,289,133,156
550,56,289,135,154
550,57,289,134,155
550,58,289,134,155
550,59,289,135,154
550,60,289,136,153
550,61,289,135,154
550,62,289,134,155
550,63,289,133,156
550,64,289,132,157
550,65,289,130,159
550,66,289,136,153
550,67,289,136,153
550,68,289,128,161
550,69,289,134,155
550,70,289,134,155
550,71,289,133,156
550,72,289,133,156
550,73,289,136,153
550,74,289,131,158
550,75,289,137,152
550,76,289,131,158
550,77,289,129,160
550,78,289,136,153
550,79,289,132,157
550,80,289,133,156
550,81,289,133,156
550,82,289,125,164
550,83,289,135,154
550,84,289,136,153
550,85,289,134,155
550,86,289,139,150
550,87,289,134,155
550,88,289,137,152
550,89,289,133,156
550,90,289,133,156
550,91,289,133,156
550,92,289,134,155
550,93,289,134,155
550,94,289,130,159
550,95,289,131,158
550,96,289,135,154
